Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Molarity,Solvent 2_Molarity,Solvent 3_Molarity,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE (%),LCE,Current (mA/cm2),Capacity (mAh/cm2),Cycle
3M LITFSI DME,DME,,,9.631602308033731,,,LiTFSI,,,3.0,,,0.40425447078291044,0.7021272353914552,0.5757567153160317,1.3085089415658209,0.08906233528936366,0.0,0.08906233528936366,0.15468744509645455,0.09531255490354544,0.059374890192909105,0.22031255490354545,0.19062510980709088,0.029687445096454552,95.7,1.3665315444204142,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V) 0.5WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.030929356215381825,LiPF6,,,1.0,,,0.3327696482220488,0.9967974010825563,0.3338388000015344,1.355453450682811,0.08645644249999464,0.046103372123938335,0.04035307037605631,0.25897661535926103,0.25897661535926103,0.0,0.25980867835129134,0.25980867835129134,0.0,95.76,1.3726341434072686,1.0,1.0,50.0
1 M LIFSI THF,THF,,,12.315544213913237,,,LiFSI,,,1.0,,,0.0405990990990991,0.3311981981981982,0.12258248782743521,0.4326959459459459,0.011757646122638002,0.0,0.011757646122638002,0.09591619758272292,0.07240090533744692,0.023515292245276005,0.2896036213497877,0.2896036213497877,0.0,95.8,1.3767507096020992,1.0,1.0,40.0
6 M LIPF6 EC-DEC (1:1 VOL),EC,DEC,,7.494719629352049,4.126809447219165,,LiPF6,,,6.0,,,0.8349141403597302,0.808581579885922,1.0325663620454022,1.7826480769722737,0.18252822921925416,0.0,0.18252822921925416,0.17677142693055145,0.17677142693055145,0.0,0.21861916141534055,0.21861916141534055,0.0,96.0,1.3979400086720373,0.5,1.0,90.0
1 M LIFSI FEC,FEC,,,13.709996794086031,,,LiFSI,,,1.0,,,0.38195965153599265,1.0972526364053186,0.3481054762258953,1.5521517652453003,0.10679809801455589,0.09320190198544409,0.013596196029111812,0.3067980980145559,0.2796057059563323,0.027192392058223623,0.2796057059563323,0.2796057059563323,0.0,96.11,1.410050398674293,0.25,0.5,100.0
0.5 M LIFSI+0.5 M LIPO2F2/DME,DME,,,9.631602308033731,,,LiFSI,LiPO2F2,,0.5,0.5,,0.051912442396313374,0.5778686635944701,0.08983432684064675,0.6816935483870968,0.012337633890434366,0.0,0.012337633890434366,0.13733763389043438,0.11883118305478281,0.01850645083565155,0.23766236610956562,0.23766236610956562,0.0,96.4,1.4436974992327136,0.5,1.0,170.0
3.25M LITFSI SL,SL,,,10.493554910168179,,,LiTFSI,,,3.25,,,0.402275686840317,0.7011378434201585,0.5737469323835261,1.5210283997772744,0.09312173111615787,0.0,0.09312173111615787,0.16230453856947133,0.10022338449203275,0.06208115407743858,0.23148734602278478,0.2004467689840655,0.03104057703871929,96.5,1.4559319556497239,0.5,1.0,100.0
5M LITFSI 1-4 (EA-DCM VOL),EA,DCM,,2.0475801325705985,12.527669194178873,,LiTFSI,,,5.0,,,0.9766264091204666,0.7843989948975665,1.2450633102200785,3.064995447228933,0.17512678087484249,0.0,0.17512678087484249,0.14065692839658644,0.023905741146691473,0.11675118724989499,0.1793180885130464,0.1209424948880989,0.05837559362494749,96.5,1.4559319556497239,0.2,0.5,50.0
1 M LIPF6 FEC-DMC (1:1 V) 1.25WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.07732339053845456,LiPF6,,,1.0,,,0.3296028906398009,0.9920696954605899,0.33223763627491476,1.3473126430229663,0.08570764383501772,0.045704071129135763,0.04000357270588196,0.25797090539163875,0.25797090539163875,0.0,0.260033046641819,0.260033046641819,0.0,96.75,1.488116639021126,1.0,1.0,50.0
2 M LIFSI FEC,FEC,,,13.709996794086031,,,LiFSI,,,2.0,,,0.430585969738652,1.1945052728106373,0.36047222188102634,1.7709701971572673,0.11273074734651053,0.08726925265348943,0.0254614946930211,0.3127307473465105,0.26180775796046835,0.0509229893860422,0.26180775796046835,0.26180775796046835,0.0,96.76,1.4894549897933895,0.25,0.5,100.0
LIFSI-1.2DME-3BTFEC,DME,BTFEC,,,,,,,,,,,1.0101010101010102,0.7777777777777778,1.2987012987012987,1.9393939393939392,0.24038461538461542,0.21634615384615388,0.024038461538461543,0.18509615384615388,0.13701923076923078,0.04807692307692309,0.23798076923076927,0.23798076923076927,0.0,96.8,1.4948500216800937,0.5,1.0,10.0
1 M LIPF6 FEC-DMC (1:1 V) 0.75WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.046394034323072736,LiPF6,,,1.0,,,0.3317073227094315,0.9952114374690126,0.33330336672277205,1.3527225224555155,0.08620539338856252,0.04596949880841601,0.04023589458014651,0.2586394318070738,0.2586394318070738,0.0,0.2598839021231877,0.2598839021231877,0.0,96.82,1.4975728800155665,1.0,1.0,50.0
1M LIPF6 FEC-DEC (1:1 W/W),FEC,DEC,,5.503189326568085,4.940618308980376,,LiPF6,,,1.0,,,0.27911785988235177,0.7602378314832817,0.3671454488627218,1.0636200803066806,0.07569729209479412,0.03621400275000612,0.039483289344788,0.20617793936783307,0.20617793936783307,0.0,0.2712018934463762,0.2712018934463762,0.0,97.0,1.5228787452803372,1.0,1.0,40.0
0.1 M LI2S5 + 5% LINO3 IN 1 M LITFSI IN DOL/DME (1:1 VOL),DOL,DME,,4.8158011540168655,7.15462080509733,,LiTFSI,Li2S5,LiNO3,1.0,0.1,0.7772999999999999,0.14042620794908087,0.7085144387750688,0.1981980892187037,0.9490481499342501,0.03402515020643805,0.0,0.03402515020643805,0.17167244316312583,0.13576513506443497,0.035907308098690846,0.2422991456037588,0.2309574288682794,0.011341716735479351,97.0,1.5228787452803372,1.0,1.0,230.0
3 M LIFNFSI IN DOL/DME,DOL,DME,,4.8158011540168655,7.15462080509733,,LiFNFSI,,,3.0,,,0.6032931719274949,0.7227621909726339,0.834704940937257,1.507043314478377,0.13714057053443468,0.0,0.13714057053443468,0.16429826134783027,0.1094420331340564,0.054856228213773874,0.2273199447894904,0.18617777362916002,0.04114217116033041,97.0,1.5228787452803372,0.5,1.5,180.0
0.5 M LITFSI 0.5 M LINO3 DOL-DME (1:1 V),DOL,DME,,7.15462080509733,4.8158011540168655,,LiTFSI,LiNO3,,0.5,0.5,,0.07189577924912353,0.6576269522515341,0.10932608373633733,0.7774532510000733,0.018044716903079707,0.0,0.018044716903079707,0.1650540866953426,0.14400191697508294,0.02105216972025966,0.2509843705922373,0.24496946495787741,0.006014905634359902,97.0,1.5228787452803372,0.5,0.5,100.0
1 M LICLO4 EC-ES (1:1 VOL),EC,ES,,7.494719629352049,8.400286108754596,,LiClO4,,,1.0,,,0.0,0.6741590980192358,0.0,0.9134450965282822,0.0,0.0,0.0,0.18951206208824412,0.16088935779330643,0.028622704294937674,0.2811088104351842,0.2811088104351842,0.0,97.0,1.5228787452803372,0.5,0.5,450.0
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL) 0.1 M RBNO3 0.1M 18-CROWN-6,FEC,EC,DEC,1.3709996794086032,6.7452476664168435,3.714128502497249,LiPF6,RbNO3,,1.0,0.1,,0.1670694130164346,0.824833073175744,0.20254936234938992,1.0191014150131614,0.0458632843512063,0.008530531932837416,0.03733275241836888,0.22643015914359624,0.2245635215226778,0.0018666376209184442,0.2745163433757604,0.2745163433757604,0.0,97.1,1.5376020021010435,0.5,1.0,150.0
3 M LIFSI FEC,FEC,,,13.709996794086031,,,LiFSI,,,3.0,,,0.4792122879413113,1.291757909215956,0.37097685605205505,1.9897886290692344,0.11795332480890572,0.08204667519109426,0.03590664961781146,0.3179533248089057,0.24614002557328277,0.07181329923562292,0.24614002557328277,0.24614002557328277,0.0,97.14,1.5436339668709576,0.25,0.5,100.0
1 M LIPF6 FEC-DMC (1:1 V) 0.1WT% 12-CROWN-4,FEC,DMC,12-Crown-4,6.8549983970430155,5.9392970536646015,0.06185871243076365,LiPF6,,,1.0,,,0.33065175829571153,0.9936355676136543,0.33276964822204874,1.3500089750362743,0.08595579803055307,0.04583640071487928,0.04011939731567379,0.25830420078815886,0.25830420078815886,0.0,0.25995869029578933,0.25995869029578933,0.0,97.24,1.5590909179347812,1.0,1.0,50.0
1M LIFSI DME,DME,,,9.631602308033731,,,LiFSI,,,1.0,,,0.051912442396313374,0.6038248847926267,0.08597267801266888,0.7336059907834102,0.012187271792929978,0.0,0.012187271792929978,0.1417574987152787,0.11738295512941876,0.024374543585859956,0.23476591025883753,0.23476591025883753,0.0,97.25,1.5606673061697378,0.5,1.0,10.0
3.2M LIFSI TEP,TEP,,,5.885162473305408,,,LiFSI,,,3.2,,,0.18124676616915422,1.029160199004975,0.17611132488837924,1.6489437810945273,0.03459193488505469,0.0,0.03459193488505469,0.19642084293545195,0.12723697316534255,0.06918386977010937,0.19085545974801385,0.19085545974801385,0.0,97.3,1.5686362358410122,0.5,1.0,10.0
1 M LITFSI IN DOL/DME WITH 5WT% TMS-FNFSI,DOL,DME,,4.8158011540168655,7.15462080509733,,LiTFSI,,,1.0,0.10970577457511774,,0.16316947993070877,0.6524810243323692,0.25007544104085916,0.8921907216039592,0.040468143850165256,0.0,0.040468143850165256,0.1618237427942925,0.1365131228018034,0.025310619992489142,0.24801294866754722,0.23222987134451326,0.015783077323033995,97.3,1.5686362358410122,0.5,1.0,110.0
